brand,cart_count,remove_count,purchase_count,cart_remove_rate,purchase_rate_from_cart
airnails,27715,19639,7504,0.7086054483131878,0.2707559083528775
almea,868,421,146,0.48502304147465436,0.16820276497695852
andrea,54,35,6,0.6481481481481481,0.1111111111111111
ardell,4542,2246,841,0.4944958168207838,0.1851607221488331
arganoil,46,34,5,0.7391304347826086,0.10869565217391304
art-visage,21260,10844,4253,0.510065851364064,0.20004703668861712
artex,6549,4533,1694,0.6921667430142007,0.25866544510612305
aura,325,220,84,0.676923076923077,0.25846153846153846
australis,0,4,0,0.0,0.0
avene,487,316,59,0.648870636550308,0.12114989733059549
babyliss,357,146,43,0.40896358543417366,0.12044817927170869
balbcare,2500,748,346,0.2992,0.1384
barbie,21,18,4,0.8571428571428571,0.19047619047619047
barex,459,232,99,0.5054466230936819,0.21568627450980393
batiste,1257,650,351,0.5171042163882259,0.27923627684964203
beautific,311,229,50,0.7363344051446945,0.1607717041800643
beautix,26457,20799,4721,0.7861435536908946,0.17844048833956988
beauty-free,9550,7447,1611,0.7797905759162304,0.1686910994764398
beautyblender,190,67,21,0.3526315789473684,0.11052631578947368
beauugreen,594,385,133,0.6481481481481481,0.2239057239057239
benovy,6988,4497,2180,0.6435317687464225,0.31196336576989125
bergamo,736,523,132,0.7105978260869565,0.1793478260869565
bespecial,414,250,63,0.6038647342995169,0.15217391304347827
bielenda,1779,1195,322,0.671725688589095,0.18100056211354693
binacil,88,58,12,0.6590909090909091,0.13636363636363635
bioaqua,5859,3871,991,0.6606929510155317,0.16914149172213688
bioderma,120,80,17,0.6666666666666666,0.14166666666666666
biofollica,460,179,123,0.38913043478260867,0.2673913043478261
biore,270,159,29,0.5888888888888889,0.10740740740740741
biorepair,158,73,29,0.4620253164556962,0.18354430379746836
blise,0,0,0,0.0,0.0
blixz,940,653,159,0.6946808510638298,0.16914893617021276
bluesky,57102,44978,11509,0.7876781899057826,0.2015516094007215
bodipure,0,0,0,0.0,0.0
bodyton,3535,2381,720,0.6735502121640735,0.2036775106082037
bosnic,27,4,1,0.14814814814814814,0.037037037037037035
bpw.style,132929,95242,37943,0.7164877490991431,0.2854380910109908
browxenna,13399,7933,3231,0.592059108888723,0.24113739831330697
busch,8,8,0,1.0,0.0
candy,1440,998,247,0.6930555555555555,0.17152777777777778
carmex,639,472,147,0.7386541471048513,0.2300469483568075
cettua,176,92,33,0.5227272727272727,0.1875
chi,960,443,182,0.46145833333333336,0.18958333333333333
cnd,37928,24475,7686,0.6453016241299304,0.20264712086057793
coifin,472,172,123,0.3644067796610169,0.2605932203389831
concept,42833,23678,9530,0.5527980762496206,0.22249200382882356
consly,676,509,145,0.7529585798816568,0.21449704142011836
coocla,1247,718,143,0.5757818765036087,0.11467522052927025
cosima,311,172,67,0.5530546623794212,0.21543408360128619
cosmoprofi,30904,24720,6973,0.7998964535335231,0.2256342221071706
coxir,349,175,36,0.501432664756447,0.10315186246418338
cristalinas,1387,917,332,0.6611391492429705,0.23936553713049746
cruset,351,141,46,0.4017094017094017,0.13105413105413105
cuccio,0,0,0,0.0,0.0
cutrin,877,418,140,0.4766248574686431,0.15963511972633979
dancoly,11,10,0,0.9090909090909091,0.0
dartnails,5255,4133,927,0.7864890580399619,0.1764034253092293
de.lux,24931,18837,7072,0.7555653603946894,0.2836629096305804
deoproce,982,467,157,0.4755600814663951,0.159877800407332
depilflax,8753,4344,2099,0.49628698731863363,0.23980349594424769
dermacol,999,549,178,0.5495495495495496,0.1781781781781782
dermal,4662,3233,1072,0.6934791934791935,0.22994422994422994
dessata,0,0,0,0.0,0.0
dewal,7351,3988,1668,0.5425112229628622,0.22690790368657326
dizao,9862,4736,2201,0.4802271344554857,0.22317988237679984
dobrovit,41,23,8,0.5609756097560976,0.1951219512195122
domix,47234,28369,12958,0.6006054960409875,0.2743362831858407
dorena,171,57,5,0.3333333333333333,0.029239766081871343
dr.gloderm,512,201,52,0.392578125,0.1015625
ecocraft,495,435,102,0.8787878787878788,0.20606060606060606
ecolab,5072,3334,1047,0.6573343848580442,0.20642744479495267
egomania,337,116,30,0.34421364985163205,0.08902077151335312
elizavecca,436,273,34,0.6261467889908257,0.0779816513761468
ellips,859,390,207,0.4540162980209546,0.2409778812572759
elskin,3425,1564,759,0.4566423357664234,0.22160583941605838
embryolisse,0,6,0,0.0,0.0
emil,3095,1451,722,0.4688206785137318,0.2332794830371567
enas,473,357,63,0.7547568710359408,0.1331923890063425
enigma,1282,860,213,0.6708268330733229,0.16614664586583464
enjoy,253,139,48,0.549407114624506,0.18972332015810275
entity,5237,3441,1075,0.6570555661638342,0.20527019285850678
eos,259,193,55,0.7451737451737451,0.21235521235521235
ermine,355,260,43,0.7323943661971831,0.12112676056338029
esquire,30,8,6,0.26666666666666666,0.2
essie,0,0,0,0.0,0.0
estel,86559,48722,19438,0.5628761884957081,0.22456359246294436
estelare,4021,1904,858,0.47351405123103707,0.21337975627953246
estrade,1214,771,182,0.6350906095551895,0.14991762767710048
eunyul,4496,2471,1141,0.5495996441281139,0.2537811387900356
everyang,23,2,6,0.08695652173913043,0.2608695652173913
f.o.x,30291,25804,5292,0.8518701924664092,0.17470535802713677
fancy,357,299,78,0.8375350140056023,0.2184873949579832
farmavita,3858,1511,662,0.3916537065837221,0.1715914981855884
farmona,1430,861,350,0.6020979020979021,0.24475524475524477
farmstay,14424,7794,3356,0.5403494176372712,0.2326677759290072
fedua,88,10,13,0.11363636363636363,0.14772727272727273
finish,223,154,42,0.6905829596412556,0.18834080717488788
fly,68,36,6,0.5294117647058824,0.08823529411764706
foamie,65,32,13,0.49230769230769234,0.2
footlogix,0,0,0,0.0,0.0
freedecor,70434,53388,17467,0.7579861998466649,0.2479910270607945
freshbubble,1589,924,432,0.5814977973568282,0.2718691000629327
frozen,57,53,7,0.9298245614035088,0.12280701754385964
gehwol,1576,934,426,0.5926395939086294,0.2703045685279188
gena,0,0,0,0.0,0.0
gezatone,347,219,65,0.6311239193083573,0.1873198847262248
glysolid,1041,570,221,0.547550432276657,0.21229586935638808
godefroy,1001,602,237,0.6013986013986014,0.23676323676323677
grace,607,307,134,0.5057660626029654,0.22075782537067545
grattol,217181,159405,49542,0.7339730455242401,0.22811387736496286
greymy,182,53,39,0.29120879120879123,0.21428571428571427
happyfons,3198,2112,742,0.6604127579737336,0.2320200125078174
haruyama,55119,48690,11582,0.8833614543079519,0.21012717937553294
helloganic,62,49,1,0.7903225806451613,0.016129032258064516
herbolive,231,170,34,0.7359307359307359,0.1471861471861472
i-laq,3077,2391,343,0.7770555736106597,0.11147221319467013
ibd,0,0,0,0.0,0.0
igrobeauty,6327,3207,1465,0.5068752963489805,0.2315473368104947
ikoo,0,0,0,0.0,0.0
ingarden,124220,103665,27411,0.8345274512960876,0.22066494928352923
inm,831,414,247,0.4981949458483754,0.2972322503008424
inoface,779,560,156,0.7188703465982028,0.20025673940949937
insight,2814,1304,612,0.4633972992181947,0.21748400852878466
invisibobble,0,0,0,0.0,0.0
irisk,333061,216942,73806,0.6513581596164066,0.2215990464209259
italwax,65108,32427,17105,0.49804939485163113,0.26271733120353874
jaguar,1296,684,260,0.5277777777777778,0.2006172839506173
jas,3322,1804,913,0.543046357615894,0.27483443708609273
jessnail,43207,27859,9661,0.6447797810539959,0.22359802809729906
joico,1011,336,173,0.3323442136498516,0.17111770524233433
juno,56,24,9,0.42857142857142855,0.16071428571428573
kaaral,10203,5168,2115,0.5065176908752328,0.2072919729491326
kamill,526,309,144,0.5874524714828897,0.2737642585551331
kapous,72005,39026,16335,0.5419901395736407,0.2268592458857024
kares,95,37,5,0.3894736842105263,0.05263157894736842
kaypro,4031,1612,482,0.3999007690399405,0.11957330687174399
keen,2061,780,234,0.3784570596797671,0.11353711790393013
kerasys,1170,686,276,0.5863247863247864,0.2358974358974359
keune,988,445,126,0.45040485829959515,0.12753036437246965
kezy,773,501,126,0.648124191461837,0.1630012936610608
kims,533,216,63,0.4052532833020638,0.11819887429643527
kinetics,14666,9752,3206,0.6649393154234283,0.21860084549297695
kiss,2688,1431,419,0.5323660714285714,0.1558779761904762
kocostar,2688,1325,471,0.4929315476190476,0.17522321428571427
koelcia,155,73,21,0.47096774193548385,0.13548387096774195
koelf,551,430,97,0.7803992740471869,0.17604355716878403
konad,3305,2583,763,0.7815431164901664,0.2308623298033283
kondor,36,10,4,0.2777777777777778,0.1111111111111111
koreatida,90,32,21,0.35555555555555557,0.23333333333333334
kosmekka,1065,918,123,0.8619718309859155,0.11549295774647887
labay,95,41,16,0.43157894736842106,0.16842105263157894
laboratorium,1017,681,211,0.6696165191740413,0.20747295968534907
lador,6686,2930,1087,0.43822913550702963,0.16257852228537242
ladykin,427,237,73,0.5550351288056206,0.17096018735362997
laiseven,0,0,0,0.0,0.0
lakme,1322,715,233,0.5408472012102874,0.1762481089258699
lamixx,1559,739,458,0.4740218088518281,0.2937780628608082
latinoil,330,128,58,0.3878787878787879,0.17575757575757575
lebelage,1237,787,222,0.6362166531932094,0.17946645109135004
levissime,6913,3577,2234,0.5174309272385361,0.323159265152611
levrana,11331,6958,2611,0.6140676021533845,0.230429794369429
lianail,35398,32716,6642,0.9242330075145488,0.1876377196451777
likato,1278,644,170,0.5039123630672926,0.13302034428794993
limoni,3112,2037,682,0.6545629820051414,0.2191516709511568
litaline,486,150,33,0.30864197530864196,0.06790123456790123
lovely,31388,19230,7010,0.6126545176500573,0.22333375812412387
lowence,1432,681,266,0.4755586592178771,0.1857541899441341
lsanic,1702,1136,382,0.6674500587544065,0.2244418331374853
lunaris,11,3,1,0.2727272727272727,0.09090909090909091
luxvisage,1032,767,160,0.7432170542635659,0.15503875968992248
macadamia,0,0,0,0.0,0.0
mane,109,29,19,0.26605504587155965,0.1743119266055046
marathon,2200,1503,351,0.6831818181818182,0.15954545454545455
markell,10229,7247,2587,0.7084759018476879,0.2529083976928341
marutaka-foot,135,64,21,0.4740740740740741,0.15555555555555556
masura,247018,222714,49751,0.9016104089580517,0.20140637524390936
matreshka,1982,1430,340,0.7214934409687185,0.1715438950554995
matrix,5759,3618,1137,0.6282340684146553,0.19743010939399203
mavala,1945,779,211,0.4005141388174807,0.10848329048843187
max,3994,2827,892,0.7078117175763645,0.22333500250375563
mayamy,233,151,53,0.648068669527897,0.22746781115879827
meisterwerk,549,456,118,0.8306010928961749,0.21493624772313297
metzger,17471,10178,4262,0.582565394081621,0.2439471123576212
mielle,143,75,21,0.5244755244755245,0.14685314685314685
milv,50821,37174,12691,0.7314692745125047,0.24971960410066704
miskin,318,222,52,0.6981132075471698,0.16352201257861634
missha,3536,1549,668,0.4380656108597285,0.18891402714932126
moyou,765,636,113,0.8313725490196079,0.1477124183006536
nagaraku,44809,18381,7915,0.4102077707603383,0.17663862170546096
naomi,999,662,179,0.6626626626626627,0.17917917917917917
naturmed,373,169,80,0.45308310991957107,0.21447721179624665
nefertiti,578,417,155,0.7214532871972318,0.2681660899653979
neoleor,48,24,10,0.5,0.20833333333333334
nirvel,473,240,103,0.507399577167019,0.21775898520084566
nitrile,1551,1113,468,0.7176015473887815,0.30174081237911027
nitrimax,7415,3673,1684,0.49534726904922455,0.22710721510451787
note,470,541,50,1.151063829787234,0.10638297872340426
nova,0,0,0,0.0,0.0
oniq,26556,20434,4757,0.7694682934176834,0.17913089320680825
opi,2453,1220,543,0.49735018344883813,0.2213615980432124
orly,2302,1195,467,0.5191138140747177,0.20286707211120764
osmo,937,316,110,0.33724653148345785,0.11739594450373532
ovale,52,26,5,0.5,0.09615384615384616
parachute,1222,746,242,0.6104746317512275,0.19803600654664485
petitfee,1148,805,234,0.7012195121951219,0.2038327526132404
philips,58,19,6,0.3275862068965517,0.10344827586206896
pilaten,29,10,3,0.3448275862068966,0.10344827586206896
plazan,366,285,74,0.7786885245901639,0.20218579234972678
pnb,23704,17372,4633,0.7328720890988862,0.19545224434694566
polarus,4573,3212,871,0.7023835556527444,0.1904657773890225
pole,57506,48626,11578,0.845581330643759,0.20133551281605397
profepil,281,183,79,0.6512455516014235,0.28113879003558717
profhenna,2047,1172,419,0.5725451880801172,0.20468978993649242
protokeratin,800,308,117,0.385,0.14625
provoc,3099,1771,683,0.5714746692481446,0.22039367537915455
pueen,0,0,0,0.0,0.0
radius,32,10,5,0.3125,0.15625
rasyan,129,43,26,0.3333333333333333,0.20155038759689922
refectocil,6496,4056,1791,0.624384236453202,0.2757081280788177
relouis,2947,1828,468,0.6202918221920597,0.15880556498133697
resize,45,31,8,0.6888888888888889,0.17777777777777778
riche,527,188,81,0.3567362428842505,0.15370018975332067
rocknailstar,16,6,5,0.375,0.3125
rorec,23,18,1,0.782608695652174,0.043478260869565216
rosi,12571,8797,3183,0.6997852199506801,0.2532018136981943
roubloff,18079,13589,4644,0.7516455556170142,0.2568726146357653
runail,491595,316778,111408,0.6443881650545673,0.22662557593140695
s.care,125,69,20,0.552,0.16
sanoto,66,40,24,0.6060606060606061,0.36363636363636365
sawa,270,176,59,0.6518518518518519,0.21851851851851853
severina,26732,14454,9173,0.5407002843034565,0.3431467903636092
shary,7193,3419,1762,0.47532323091894896,0.24496037814541916
shifei,0,4,0,0.0,0.0
shik,7962,4200,1495,0.5275056518462697,0.18776689274051747
siberina,3307,2122,585,0.6416691865739341,0.17689749017236164
skinity,24,6,7,0.25,0.2916666666666667
skinlite,7215,4076,1606,0.5649341649341649,0.22259182259182259
skipofit,122,57,21,0.4672131147540984,0.1721311475409836
smart,14476,8229,3819,0.5684581376070738,0.2638159712627798
soleo,7455,1726,1235,0.23152246814218644,0.16566063044936286
solomeya,12777,6749,2408,0.5282147608984895,0.18846364561321124
sophin,5630,3677,997,0.6531083481349911,0.17708703374777976
staleks,25791,16893,5811,0.6549959288123764,0.22531115505408864
strong,5447,3482,850,0.6392509638333027,0.15604920139526346
sun,39,32,2,0.8205128205128205,0.05128205128205128
sunuv,2464,1724,529,0.6996753246753247,0.21469155844155843
supertan,1719,447,283,0.2600349040139616,0.16463059918557302
swarovski,15157,11990,4031,0.7910536385828331,0.26594972619911594
tannymaxx,618,283,124,0.45792880258899676,0.20064724919093851
tazol,143,100,14,0.6993006993006993,0.0979020979020979
termix,89,53,9,0.5955056179775281,0.10112359550561797
tertio,1755,1567,227,0.8928774928774929,0.12934472934472935
thuya,3453,1927,810,0.5580654503330438,0.23457862728062553
tosowoong,45,17,11,0.37777777777777777,0.24444444444444444
treaclemoon,1136,691,231,0.608274647887324,0.20334507042253522
trind,1097,607,266,0.5533272561531449,0.24247948951686418
uno,67334,44229,17586,0.6568598330709597,0.2611756319244364
uralsoap,0,0,0,0.0,0.0
uskusi,29160,26091,5708,0.894753086419753,0.19574759945130316
veraclara,451,175,103,0.38802660753880264,0.22838137472283815
vichy,183,171,26,0.9344262295081968,0.14207650273224043
vilenta,1609,1182,333,0.7346177750155376,0.2069608452454941
vl-gel,0,0,0,0.0,0.0
voesh,0,0,0,0.0,0.0
vosev,263,109,39,0.4144486692015209,0.1482889733840304
weaver,42,10,6,0.23809523809523808,0.14285714285714285
yllozure,975,723,202,0.7415384615384616,0.20717948717948717
yoko,26338,15406,6628,0.5849343154377705,0.25165160604449843
ypsed,475,134,91,0.28210526315789475,0.19157894736842104
yu-r,263,81,61,0.30798479087452474,0.23193916349809887
zab,39,14,0,0.358974358974359,0.0
zeitun,2997,1857,558,0.6196196196196196,0.18618618618618618
zinger,35713,20074,9022,0.5620922353204716,0.25262509450340215
